iter	Logloss
0	0.6803352672
1	0.6668552582
2	0.6549189449
3	0.645636054
4	0.634774657
5	0.6244626011
6	0.6138939699
7	0.604355454
8	0.595458746
9	0.5878218475
10	0.5799129898
11	0.5712269143
12	0.5630705977
13	0.554592507
14	0.5470993614
15	0.5399662581
16	0.5332345913
17	0.5273648677
18	0.5213503932
19	0.5159058253
20	0.510339506
21	0.5048919013
22	0.4994106854
23	0.4938211808
24	0.4893160748
25	0.4845879419
26	0.4793354581
27	0.4751710072
28	0.4708449906
29	0.4660536214
30	0.462011184
31	0.4582250114
32	0.4536115802
33	0.4497967411
34	0.4461714227
35	0.4435013184
36	0.4405265217
37	0.437051054
38	0.4340182209
39	0.4307190647
40	0.4276124758
41	0.4246719683
42	0.4221678312
43	0.4193052507
44	0.4170879363
45	0.4150542541
46	0.4129174326
47	0.4110210615
48	0.4083980987
49	0.4064876831
50	0.4044391279
51	0.4025286977
52	0.4002296169
53	0.3981129401
54	0.3959071626
55	0.3934299852
56	0.3915908631
57	0.389311066
58	0.3875336331
59	0.3861574656
60	0.3850992887
61	0.3836632522
62	0.3821465148
63	0.380560069
64	0.3788334591
65	0.3775268874
66	0.3758600453
67	0.3746664857
68	0.3733168832
69	0.3707614001
70	0.3692252911
71	0.3676132394
72	0.3663911605
73	0.3653928922
74	0.3639586382
75	0.3626879285
76	0.3612336002
77	0.3597781863
78	0.3583568088
79	0.3575308784
80	0.3563324133
81	0.3552116496
82	0.3542253911
83	0.3531007319
84	0.3520965869
85	0.3508073777
86	0.3500254258
87	0.3490281287
88	0.3481935252
89	0.3474859456
90	0.3464902827
91	0.3455949944
92	0.344548186
93	0.3437091883
94	0.3431690035
95	0.3425216547
96	0.3413739947
97	0.3406057817
98	0.3395646503
99	0.3386942342
100	0.338040693
101	0.3372400607
102	0.3366506705
103	0.3358523791
104	0.3352785399
105	0.3342854113
106	0.333786532
107	0.3331516578
108	0.3326580088
109	0.3318278126
110	0.3310518344
111	0.3304014368
112	0.3297784903
113	0.3290991313
114	0.3285305036
115	0.3277447897
116	0.3270704399
117	0.3262523957
118	0.3257769748
119	0.3254124566
120	0.324682685
121	0.324047873
122	0.3236056409
123	0.3231394138
124	0.3227666878
125	0.3222696209
126	0.3217727207
127	0.3211273561
128	0.3206533194
129	0.3200225468
130	0.3195611076
131	0.3190006828
132	0.3184862229
133	0.3180275482
134	0.3174227487
135	0.316919103
136	0.3163519495
137	0.3157056484
138	0.315176967
139	0.3140969153
140	0.313752826
141	0.3134426571
142	0.3130389819
143	0.3124256946
144	0.3119971605
145	0.3117372653
146	0.3114391159
147	0.3108908668
148	0.3102527191
149	0.3098077111
150	0.3094702504
151	0.3087797034
152	0.3084034813
153	0.307979722
154	0.3074253285
155	0.3070749078
156	0.3067626995
157	0.3065252885
158	0.3061816877
159	0.3058424508
160	0.3055468975
161	0.3051778466
162	0.3048915264
163	0.304445236
164	0.3041558543
165	0.3035816019
166	0.3031314535
167	0.3027277882
168	0.3024464993
169	0.3021047481
170	0.3017880017
171	0.3014595068
172	0.3012939451
173	0.3008398482
174	0.3005131569
175	0.3002244034
176	0.2999593065
177	0.2995616736
178	0.2990907889
179	0.2987895335
180	0.2984497348
181	0.2981369208
182	0.2978179865
183	0.2974133949
184	0.2971769716
185	0.297024385
186	0.2965284634
187	0.2959986567
188	0.2955480873
189	0.2953126398
190	0.2950315106
191	0.294681937
192	0.2944269902
193	0.2939860974
194	0.2938349753
195	0.2935945353
196	0.2930961827
197	0.2928465211
198	0.2926555463
199	0.29221774
200	0.2919692934
201	0.2915319629
202	0.2913285296
203	0.2908854282
204	0.2906173745
205	0.290292694
206	0.2900794168
207	0.2898222125
208	0.2894619531
209	0.2888996716
210	0.2886105203
211	0.2883710954
212	0.2880201328
213	0.2877965518
214	0.2874926905
215	0.2873115405
216	0.2871525966
217	0.2869810103
218	0.2866821702
219	0.28639192
220	0.2862354396
221	0.2858547551
222	0.2857239658
223	0.2855423051
224	0.2853345328
225	0.2851533584
226	0.2849227787
227	0.2846895192
228	0.2844453738
229	0.2842231669
230	0.2838997388
231	0.2837258959
232	0.2836125388
233	0.2834508493
234	0.2832063348
235	0.2830388917
236	0.2828040332
237	0.2826490558
238	0.2825429853
239	0.2823831277
240	0.2821791624
241	0.2820267365
242	0.281854655
243	0.2816576665
244	0.2813596351
245	0.2811353706
246	0.2810086133
247	0.2807843541
248	0.2805600589
249	0.2801354925
250	0.2799246195
251	0.279689168
252	0.2795616091
253	0.2792791359
254	0.2788146432
255	0.2785299334
256	0.2782484564
257	0.2779584573
258	0.2778281838
259	0.2777022726
260	0.2773283669
261	0.2771243226
262	0.276928351
263	0.2768065055
264	0.2765963983
265	0.2763071827
266	0.2761216791
267	0.2759987362
268	0.2759325302
269	0.2758021848
270	0.2757125118
271	0.2755158144
272	0.2752996441
273	0.2749558774
274	0.2748207605
275	0.2746322245
276	0.2744376065
277	0.2743456778
278	0.2740631064
279	0.2736697165
280	0.2734086171
281	0.2731912739
282	0.2730565896
283	0.2728967963
284	0.2727909486
285	0.2726264364
286	0.2724611128
287	0.2723102382
288	0.272014689
289	0.2718701435
290	0.2717509975
291	0.2715989705
292	0.2712989699
293	0.2710570455
294	0.2708158555
295	0.2705983058
296	0.2704760941
297	0.270331857
