iter	Passed	Remaining
0	143	143803
1	146	73135
2	149	49561
3	151	37643
4	153	30621
5	156	25937
6	159	22603
7	161	20057
8	164	18074
9	166	16496
10	169	15204
11	171	14120
12	173	13195
13	176	12439
14	178	11741
15	180	11116
16	183	10586
17	185	10140
18	188	9709
19	190	9317
20	192	8981
21	195	8671
22	197	8372
23	199	8099
24	201	7865
25	204	7642
26	205	7423
27	208	7225
28	210	7051
29	212	6880
30	214	6713
31	216	6559
32	219	6428
33	221	6295
34	223	6169
35	225	6045
36	228	5941
37	230	5838
38	232	5730
39	234	5630
40	237	5545
41	239	5467
42	242	5392
43	244	5317
44	247	5250
45	249	5181
46	251	5107
47	254	5041
48	257	4999
49	260	4943
50	263	4901
51	265	4846
52	269	4811
53	271	4757
54	274	4711
55	276	4658
56	278	4607
57	280	4560
58	282	4510
59	284	4461
60	286	4414
61	289	4383
62	291	4338
63	293	4294
64	295	4252
65	298	4227
66	300	4190
67	302	4151
68	304	4113
69	307	4084
70	309	4049
71	311	4014
72	313	3980
73	315	3952
74	317	3921
75	320	3891
76	322	3862
77	324	3837
78	326	3810
79	329	3783
80	331	3756
81	333	3731
82	335	3709
83	338	3687
84	340	3663
85	342	3639
86	344	3619
87	347	3597
88	349	3573
89	351	3551
90	353	3534
91	355	3511
92	357	3489
93	359	3467
94	362	3451
95	364	3433
96	366	3413
97	368	3392
98	370	3376
99	373	3358
100	375	3339
101	377	3320
102	379	3308
103	382	3293
104	384	3275
105	386	3258
106	388	3242
107	390	3228
108	393	3214
109	395	3199
110	397	3186
111	400	3172
112	402	3159
113	404	3146
114	407	3134
115	409	3120
116	411	3105
117	413	3090
118	415	3078
119	417	3064
120	419	3050
121	421	3036
122	424	3025
123	426	3012
124	428	2999
125	430	2986
126	432	2975
127	435	2965
128	437	2954
129	439	2941
130	441	2928
131	443	2917
132	445	2905
133	447	2892
134	449	2880
135	451	2871
136	453	2859
137	456	2848
138	458	2837
139	460	2827
140	462	2818
141	464	2808
142	466	2797
143	469	2789
144	471	2782
145	474	2777
146	477	2769
147	480	2765
148	483	2762
149	487	2759
150	491	2763
151	495	2762
152	498	2758
153	501	2752
154	503	2744
155	505	2736
156	510	2741
157	513	2736
158	515	2727
159	519	2727
160	521	2718
161	523	2710
162	526	2702
163	529	2701
164	536	2715
165	564	2835
166	573	2859
167	578	2865
168	584	2873
169	593	2895
170	599	2903
171	607	2926
172	610	2918
173	613	2912
174	616	2906
175	620	2902
176	623	2897
177	627	2895
178	630	2893
179	641	2921
180	646	2924
181	658	2960
182	662	2957
183	670	2971
184	674	2972
185	680	2977
186	685	2979
187	689	2976
188	693	2976
189	696	2969
190	702	2973
191	704	2965
192	707	2956
193	712	2958
194	714	2950
195	717	2942
196	720	2935
197	725	2938
198	727	2930
199	731	2924
200	735	2922
201	738	2915
202	740	2907
203	746	2912
204	749	2904
205	751	2895
206	753	2886
207	756	2879
208	758	2870
209	760	2860
210	763	2854
211	767	2851
212	769	2842
213	771	2833
214	775	2829
215	777	2821
216	779	2812
217	781	2803
218	785	2799
219	787	2792
220	789	2783
221	792	2776
222	795	2772
223	797	2764
224	799	2755
225	804	2754
226	806	2746
227	808	2738
228	811	2732
229	814	2726
230	816	2718
231	818	2709
232	822	2707
233	824	2699
234	826	2690
235	829	2685
236	831	2678
237	834	2670
238	836	2662
239	840	2660
240	842	2653
241	844	2645
242	846	2637
243	851	2637
244	853	2630
245	855	2623
246	858	2616
247	861	2611
248	863	2603
249	865	2596
250	869	2593
251	871	2586
252	873	2578
253	875	2570
254	879	2569
255	881	2563
256	883	2555
257	886	2550
258	889	2546
259	892	2539
260	894	2531
261	897	2529
262	900	2522
263	902	2515
264	904	2507
265	908	2507
266	911	2501
267	913	2495
268	917	2493
269	920	2489
270	924	2486
271	930	2490
272	933	2486
273	938	2485
274	944	2489
275	947	2484
276	953	2487
277	955	2482
278	958	2476
279	963	2477
280	966	2471
281	968	2465
282	972	2462
283	975	2458
284	977	2451
285	979	2445
286	985	2447
287	987	2441
288	989	2435
289	993	2433
290	997	2429
291	999	2423
292	1001	2417
293	1004	2412
294	1007	2406
295	1009	2400
296	1013	2399
297	1016	2394
298	1018	2388
299	1021	2382
300	1024	2379
301	1027	2373
302	1029	2367
303	1034	2368
304	1037	2363
305	1039	2358
306	1043	2355
307	1046	2350
308	1048	2344
309	1050	2338
310	1053	2334
311	1056	2328
312	1058	2322
313	1060	2317
314	1063	2312
315	1065	2306
316	1067	2300
317	1070	2296
318	1073	2292
319	1075	2286
320	1078	2280
321	1081	2277
322	1084	2272
323	1086	2266
324	1088	2259
325	1092	2258
326	1094	2253
327	1096	2247
328	1099	2241
329	1101	2236
330	1103	2230
331	1105	2224
332	1108	2220
333	1110	2214
334	1112	2208
335	1114	2202
336	1117	2197
337	1119	2191
338	1121	2186
339	1123	2180
340	1125	2174
341	1127	2169
342	1129	2163
343	1131	2158
344	1133	2152
345	1136	2147
346	1138	2142
347	1140	2136
348	1142	2130
349	1144	2125
350	1146	2120
351	1148	2114
352	1150	2109
353	1152	2103
354	1155	2099
355	1157	2093
356	1159	2088
357	1161	2082
358	1163	2078
359	1165	2072
360	1167	2067
361	1169	2061
362	1172	2058
363	1174	2052
364	1176	2047
365	1178	2042
366	1181	2037
367	1183	2032
368	1185	2027
369	1187	2022
370	1190	2017
371	1192	2013
372	1194	2008
373	1196	2003
374	1198	1998
375	1200	1993
376	1202	1987
377	1204	1982
378	1206	1977
379	1209	1973
380	1211	1968
381	1213	1963
382	1215	1958
383	1217	1953
384	1220	1948
385	1222	1944
386	1224	1939
387	1226	1934
388	1228	1929
389	1230	1924
390	1232	1919
391	1234	1914
392	1237	1910
393	1239	1907
394	1242	1903
395	1245	1898
396	1247	1895
397	1250	1891
398	1252	1887
399	1254	1882
400	1257	1878
401	1260	1874
402	1264	1873
403	1267	1869
404	1269	1865
405	1272	1862
406	1274	1857
407	1277	1853
408	1279	1849
409	1282	1846
410	1285	1841
411	1287	1837
412	1290	1834
413	1292	1829
414	1294	1825
415	1298	1823
416	1301	1819
417	1303	1814
418	1306	1811
419	1309	1807
420	1312	1805
421	1314	1800
422	1318	1798
423	1320	1794
424	1322	1789
425	1324	1784
426	1328	1782
427	1330	1778
428	1332	1773
429	1334	1769
430	1337	1766
431	1340	1761
432	1342	1757
433	1344	1753
434	1346	1749
435	1349	1745
436	1351	1741
437	1353	1736
438	1355	1732
439	1358	1728
440	1360	1724
441	1362	1719
442	1364	1715
443	1366	1711
444	1368	1707
445	1370	1702
446	1372	1698
447	1374	1694
448	1377	1690
449	1379	1686
450	1381	1681
451	1383	1677
452	1385	1673
453	1387	1668
454	1389	1664
455	1391	1660
456	1393	1656
457	1396	1652
458	1397	1647
459	1399	1643
460	1402	1639
461	1404	1635
462	1406	1631
463	1408	1626
464	1410	1622
465	1412	1618
466	1414	1614
467	1416	1610
468	1418	1605
469	1420	1602
470	1422	1598
471	1424	1593
472	1426	1589
473	1428	1585
474	1431	1581
475	1433	1577
476	1435	1573
477	1437	1569
478	1439	1565
479	1441	1561
480	1443	1557
481	1445	1553
482	1448	1550
483	1451	1547
484	1453	1543
485	1455	1539
486	1458	1536
487	1461	1533
488	1463	1529
489	1465	1525
490	1468	1522
491	1470	1518
492	1473	1515
493	1475	1511
494	1478	1508
495	1481	1504
496	1483	1501
497	1485	1497
498	1488	1494
499	1491	1491
500	1493	1487
501	1496	1484
502	1499	1481
503	1501	1477
504	1504	1474
505	1506	1471
506	1509	1467
507	1511	1464
508	1514	1460
509	1516	1456
510	1518	1453
511	1520	1449
512	1522	1445
513	1524	1441
514	1527	1438
515	1529	1434
516	1531	1430
517	1533	1426
518	1535	1423
519	1537	1419
520	1539	1415
521	1541	1411
522	1543	1408
523	1546	1404
524	1549	1401
525	1551	1398
526	1553	1394
527	1556	1391
528	1559	1388
529	1561	1384
530	1563	1380
531	1566	1377
532	1568	1374
533	1570	1370
534	1572	1366
