Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1.0,17.0,2.0,-2.1715312745088364,1.0,1.0,-0.8543863610979872,1.0,19.0,12.0,-0.3529763723708695,0.7343706970298824,0.011465425267188776,1.0,0.0,0.0,1.0,1.3806973093506187,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.8628760300291143,0.0,0.0,-2.6295044537242847,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0
1.0,15.0,1.0,-0.10079080722797619,1.0,1.0,2.1504772110572143,1.0,1.0,3.0,-0.9285201036257854,-1.0623709094979588,1.084514877463686,1.0,0.0,0.0,1.0,1.3806973093506187,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.884926606057535,0.0,0.0,-0.15331243945120493,6.0,3.0,3.0,0.0,13.9,-0.3,0.79,1.0
1.0,1.0,2.0,-0.5359892606599331,1.0,1.0,-0.8543863610979872,1.0,37.0,37.0,0.7981110901389623,0.7343706970298824,-0.16502297147565612,1.0,0.0,0.0,1.0,1.3806973093506187,0.0,1.0,0.0,0.0,6.0,0.0,0.0,-1.8628760300291143,0.0,0.0,-0.15331243945120493,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0.0
1.0,17.0,2.0,1.1267526565284676,1.0,1.0,-0.8543863610979872,1.0,38.0,37.0,-0.3529763723708695,-1.0623709094979588,-0.5321188367007736,1.0,0.0,0.0,1.0,-0.7242717091049654,0.0,2.0,0.0,0.0,6.0,8.0,6.0,0.6523083934787711,0.0,0.0,-0.15331243945120493,10.0,2.0,2.0,0.0,9.4,-0.8,-3.12,1.0
1.0,39.0,1.0,-2.1715312745088364,1.0,1.0,-2.3963558257565776,1.0,37.0,38.0,0.7981110901389623,0.7343706970298824,1.013919518766548,0.0,0.0,0.0,1.0,-0.7242717091049654,0.0,3.0,0.0,0.0,6.0,9.0,5.0,0.20645681936947374,0.0,0.0,-0.15331243945120493,6.0,3.0,2.0,0.0,13.9,-0.3,0.79,1.0
1.0,39.0,1.0,1.6423682154858947,1.0,1.0,0.023350103399979224,1.0,37.0,37.0,0.7981110901389623,0.13545682818726873,-0.8709765584470357,0.0,0.0,0.0,1.0,1.3806973093506187,0.0,3.0,0.0,0.0,5.0,10.0,5.0,0.012608308887170402,0.0,0.0,-0.7723604430194749,16.0,2.0,1.0,0.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,0.48105060333866184,1.0,1.0,0.7271207821415927,1.0,19.0,38.0,0.22256735888404638,1.0338276314511894,0.08912031983404113,1.0,0.0,0.0,1.0,-0.7242717091049654,0.0,0.0,0.0,0.0,7.0,9.0,7.0,0.5999692956485495,0.0,0.0,1.084783567685335,8.0,3.0,3.0,0.0,15.5,2.8,-4.06,1.0
1.0,18.0,2.0,-0.10079080722797619,1.0,1.0,-1.091612432583924,1.0,37.0,37.0,0.7981110901389623,0.7343706970298824,-0.9909886682321705,1.0,0.0,0.0,1.0,1.3806973093506187,0.0,2.0,0.0,0.0,5.0,5.0,0.0,-1.8628760300291143,0.0,0.0,-0.7723604430194749,5.0,0.0,0.0,0.0,15.5,2.8,-4.06,0.0
1.0,1.0,2.0,-0.13863415100466808,1.0,1.0,0.3317439963316977,1.0,1.0,1.0,0.7981110901389623,0.7343706970298824,0.15265614266146568,0.0,0.0,0.0,1.0,-0.7242717091049654,0.0,2.0,0.0,0.0,6.0,8.0,6.0,0.8340413720559304,0.0,0.0,-0.15331243945120493,7.0,3.0,3.0,0.0,16.2,0.3,-0.92,1.0
1.0,1.0,1.0,-0.13863415100466808,1.0,1.0,0.4108193534936767,1.0,1.0,19.0,-0.6407482379983275,0.13545682818726873,-0.2920946171305042,1.0,0.0,0.0,1.0,-0.7242717091049654,0.0,0.0,0.0,0.0,6.0,9.0,5.0,-0.17348626117584082,0.0,0.0,-0.15331243945120493,14.0,1.0,3.0,0.0,8.9,1.4,3.51,0.0
